Year,Value,Longitude,Latitude,archiveType,ID,VariableName,Depth,Thickness
1969.54,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1969.706,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1969.872,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1970.042,-0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1970.208,-0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1970.374,-0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1970.54,-0.33,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1970.706,-0.32,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1970.872,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1971.042,-0.34,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1971.208,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1971.374,-0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1971.54,-0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1971.706,-0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1971.872,-0.25,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1972.042,-0.49,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1972.208,-0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1972.374,-0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1972.54,-0.26,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1972.706,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1972.872,-0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1973.042,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1973.208,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1973.374,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1973.54,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1973.706,-0.2,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1973.872,-0.26,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1974.042,-0.39,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1974.208,-0.31,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1974.374,-0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1974.54,-0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1974.706,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1974.872,-0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1975.042,-0.25,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1975.208,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1975.374,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1975.54,-0.14,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1975.706,-0.2,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1975.872,-0.2,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1976.042,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1976.208,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1976.374,-0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1976.54,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1976.706,-0.61,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1976.872,-0.26,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1977.042,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1977.208,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1977.374,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1977.54,-0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1977.706,-0.24,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1977.872,-0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1978.042,-0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1978.208,-0.14,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1978.374,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1978.54,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1978.706,-0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1978.872,-0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1979.042,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1979.208,-0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1979.374,-0.14,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1979.54,0.0,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1979.706,-0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1979.872,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1980.042,0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1980.208,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1980.374,-0.3,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1980.54,-0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1980.706,-0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1980.872,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1981.042,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1981.208,0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1981.374,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1981.54,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1981.706,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1981.872,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1982.042,-0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1982.208,-0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1982.374,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1982.54,0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1982.706,0.24,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1982.872,0.24,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1983.042,0.11,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1983.208,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1983.374,0.14,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1983.54,0.22,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1983.706,0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1983.872,0.28,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1984.042,0.32,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1984.208,0.25,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1984.374,0.27,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1984.54,0.22,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1984.706,0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1984.872,0.35,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1985.042,0.31,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1985.208,0.28,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1985.374,0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1985.54,0.37,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1985.706,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1985.872,0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1986.042,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1986.208,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1986.374,0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1986.54,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1986.706,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1986.872,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1987.042,0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1987.208,-0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1987.374,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1987.54,0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1987.706,0.26,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1987.872,0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1988.042,0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1988.208,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1988.374,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1988.54,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1988.706,0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1988.872,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1989.042,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1989.208,-0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1989.374,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1989.54,-0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
