Year_Bin,Realization,WPC1_norm
1,1,0.028431142812707852
11,1,0.1469788060750286
21,1,0.26552646933734936
31,1,0.43491583385180455
41,1,0.1977893924549157
51,1,-0.03933704894197315
61,1,-0.1748319459550054
71,1,-0.31032684296803764
81,1,-0.4458217399810699
91,1,0.26552646933734936
101,1,0.4348847189795572
111,1,0.6042429686217651
121,1,0.13005231557248204
131,1,0.13005231557248204
141,1,0.13005231557248204
151,1,-0.5474429127408441
161,1,-0.15788471220429393
171,1,0.7585331176612895
181,1,0.7274743408765267
191,1,0.17120757266648687
201,1,-0.9432714127762991
211,1,-0.8951436430474969
221,1,0.3559678729249788
231,1,0.24625142895978716
241,1,-0.9835849182151354
251,1,-1.2312505415238757
261,1,-0.8609652652608899
271,1,-0.6886018937668729
281,1,-0.4046059230152851
291,1,0.30312446023401407
301,1,1.3974649420360303
311,1,1.3736947317750114
321,1,0.1576150396903165
331,1,-0.15264378722539035
341,1,-0.6473995771172526
351,1,-1.262848653894306
361,1,-1.0686681263887088
371,1,-0.22339972436269648
381,1,0.0776604235423346
391,1,0.004910638079031751
401,1,-0.37319257334032474
411,1,-1.295274020105409
421,1,-1.086985427035084
431,1,0.31497727104112605
441,1,0.7675510147675166
451,1,0.5453236721599009
461,1,0.7732910689255142
471,1,1.1251354529330229
481,1,0.7482756300830594
491,1,-0.30269835554979835
501,1,-0.6843716207744692
511,1,0.6394637250135966
521,1,0.8380368212980313
531,1,1.0912183818559038
541,1,1.4644826903173942
551,1,1.3357595708994365
561,1,0.6310913442760572
571,1,-0.05545284587984973
581,1,-0.876530405016976
591,1,-1.3381785850240422
601,1,-1.313244416037343
611,1,-0.8596907247834723
621,1,0.22068641503908115
631,1,0.6139232431655767
641,1,0.28739058181070726
651,1,0.38754137777135683
661,1,0.6540134443510902
671,1,0.09436903039912478
681,1,1.1266427038306506
691,1,1.2738468258527553
701,1,1.1930817356666663
711,1,0.9296943135161307
721,1,0.8075834393117948
731,1,0.7835320912076476
741,1,0.633451082510956
751,1,0.4026423433872461
761,1,0.19459020575967514
771,1,-0.019114113533022375
781,1,0.05885340382324733
791,1,0.4740299077097513
801,1,0.47569579129347517
811,1,0.09471229083780237
821,1,-0.5960209684033059
831,1,-1.7800580255589615
841,1,-2.104405955276125
851,1,1.3443187137193287
861,1,1.1621672038908477
871,1,1.1805666336019742
881,1,1.3621978201704965
891,1,1.3366862134618507
901,1,1.146554874441088
911,1,0.5782977867803143
921,1,-0.4715031858095222
931,1,-1.1856508977333238
941,1,-1.5969954467455374
951,1,-1.4973229978351719
961,1,-0.6592783288472893
971,1,-0.4797221689741566
981,1,-0.9158253929893951
991,1,-0.8887209732115261
1001,1,-0.644622611581405
1011,1,-0.5953640178152684
1021,1,-0.27505048468670085
1031,1,0.8637057083633234
1041,1,0.6078833974753686
1051,1,-0.7285641909947664
1061,1,-1.385937235132582
1071,1,-1.693033284178119
1081,1,-1.821509151421744
1091,1,-1.4681058279957175
1101,1,-1.2260053266906283
1111,1,-1.0466210107958613
1121,1,-0.27603190474348827
1131,1,1.0282043400962544
1141,1,0.6722719751155491
1151,1,-1.4166549574470573
1161,1,-1.1284440926678814
1171,1,1.2999020662418277
1181,1,1.9121675101718896
1191,1,2.498767153817066
1201,1,2.188089547433508
1211,1,1.8423529752597314
1221,1,1.41209286763253
1231,1,0.8972408180076373
1241,1,0.34769121978283624
1251,1,0.10218438699109303
1261,1,0.22174920219059677
1271,1,-0.09733137541769245
1281,1,-0.8055867924218618
1291,1,-0.7110179277381571
1301,1,0.1144596238430781
1311,1,0.21451485608444204
1321,1,-0.264858331324146
1331,1,-0.7213840795968018
1341,1,-1.4219559560783288
1351,1,-1.9758263957039266
1361,1,-4.283042313651414
1371,1,-2.0274005399802353
1381,1,-0.6589080170531089
1391,1,0.39495661806721416
1401,1,0.7139131802047223
1411,1,-0.3074622735091804
1421,1,-0.8533348948388418
1431,1,-1.1737428487737596
1441,1,-0.9401311900551974
1451,1,0.22063335603448392
1461,1,0.6276364533659379
1471,1,0.4014045403801437
1481,1,0.6106114489302134
1491,1,0.9792695061146279
1501,1,1.2845672461182538
1511,1,1.6517243302437554
1521,1,1.273246244623107
1531,1,0.0621867463549823
1541,1,-0.5112676223156892
1,2,-0.07245777064463613
11,2,0.0505060029802512
21,2,0.17346977660513851
31,2,-0.03734360506237908
41,2,-0.2657140695210252
51,2,-0.4940845339796714
61,2,-0.4121086848964131
71,2,-0.33013283581315495
81,2,-0.24815698672989672
91,2,-0.6346695844826749
101,2,-0.47655954823203667
111,2,-0.3184495119813984
121,2,-0.4940845339796714
131,2,-0.2481248896864029
141,2,-0.002165245393134363
151,2,0.41946151794190084
161,2,-0.12516111606151556
171,2,-1.4945776635755599
181,2,-0.5085902304918895
191,2,0.27394048650635017
201,2,1.1233935131867672
211,2,1.14480702000621
221,2,0.053333717717347996
231,2,0.06835579695970667
241,2,1.0170497195747377
251,2,1.113915279508507
261,2,0.6865575598842333
271,2,0.3455506495192379
281,2,-0.16861725873419314
291,2,-0.35592368978221933
