Year_Bin,Realization,PC1_norm
1,1,0.22240587844172385
11,1,0.35120092541561676
21,1,0.4799959723895096
31,1,0.6640275303228096
41,1,0.40640363190075246
51,1,0.14877973347869533
61,1,0.0015725161850000957
71,1,-0.1456347011086951
81,1,-0.2928419184023904
91,1,0.4799959723895096
101,1,0.6639937258485382
111,1,0.8479914793075668
121,1,0.3328112914119953
131,1,0.3328112914119953
141,1,0.3328112914119953
151,1,-0.4032473313726618
161,1,0.01998468650480245
171,1,0.7983597820499411
181,1,-0.5608209022814814
191,1,0.12187426897610187
201,1,-1.924985824125402
211,1,0.8444955062337327
221,1,-0.34354913484912314
231,1,1.0586357100624229
241,1,-0.7069014122381857
251,1,-0.43328253471930367
261,1,0.39195433344335356
271,1,-1.037678068599694
281,1,0.302153075390606
291,1,0.022689667935677272
301,1,-0.08165303285559128
311,1,1.8444604467860293
321,1,1.2446675008733037
331,1,-1.632778583593276
341,1,0.39101200918541323
351,1,1.0101877193790951
361,1,0.6006826904350658
371,1,0.2616511222532205
381,1,-0.4526302900378588
391,1,0.7393399973910783
401,1,-0.7103504310117408
411,1,1.0442765710277682
421,1,0.9494177836322071
431,1,-0.2030030061020691
441,1,-0.8367570854005395
451,1,-0.4869348136351841
461,1,-0.7319403766996774
471,1,-0.36446352640260204
481,1,-1.563714008494104
491,1,1.076075678027008
501,1,-0.05266063433109445
511,1,-0.7769866820790043
521,1,-1.1081123166509288
531,1,-1.2427239616623773
541,1,-1.0310447108867462
551,1,-1.8663994482927526
561,1,-0.553561294994146
571,1,-0.016088571031176443
581,1,0.608691339618176
591,1,1.2311879552971814
601,1,1.3898113651136266
611,1,0.47922562067060437
621,1,-0.4123888431928343
631,1,-0.23654795214184668
641,1,-0.5184289193179066
651,1,-0.4275074995609266
661,1,-0.4590485051948915
671,1,-0.3313213867557203
681,1,-1.2657780566239023
691,1,-1.1737889882973143
701,1,-1.5662007119985397
711,1,-1.0392599424128899
721,1,-0.9698511815553491
731,1,-0.581274311412763
741,1,-0.9694604220476627
751,1,-0.4056391730539122
761,1,-0.17266016500690043
771,1,-0.3437163044034488
781,1,0.20059554501450533
791,1,-0.19443028746523833
801,1,-0.905083838250151
811,1,-0.41631658920431247
821,1,0.8407481436815732
831,1,1.3962483351475905
841,1,2.159149386887283
851,1,1.5639960050734878
861,1,1.3313729999203587
871,1,1.5441273174730632
881,1,1.4835199588181687
891,1,1.0695118189509187
901,1,0.6547756919745634
911,1,0.6756727496521648
921,1,-0.19804441956268135
931,1,-1.2783926767301892
941,1,-0.9591687135595536
951,1,-1.3460598657614953
961,1,0.9439913080837653
971,1,-0.5771539903388495
981,1,-1.4571581551951522
991,1,-0.06315909647499217
1001,1,-0.7699055451391563
1011,1,-0.46310634407682894
1021,1,-0.1691720829219207
1031,1,0.599060161845307
1041,1,1.1012323418098724
1051,1,-0.3643320404190082
1061,1,-0.6953467051834393
1071,1,-0.9544743873671216
1081,1,-1.681280381495302
1091,1,-1.4361404533774385
1101,1,-0.9278804110709321
1111,1,-1.6123568233491452
1121,1,0.2941876296726477
1131,1,1.201171779961536
1141,1,-0.2728355370889839
1151,1,-1.798367127349572
1161,1,0.07510758088409315
1171,1,1.3307012964394325
1181,1,1.148972299154445
1191,1,2.4430555516420065
1201,1,1.9374103873150497
1211,1,1.7474247169583867
1221,1,1.9976816812810534
1231,1,1.1712411929844027
1241,1,0.6494827125917809
1251,1,0.6968236647366036
1261,1,-0.01248734603364857
1271,1,0.07142921537689223
1281,1,-0.3900255293055045
1291,1,-1.1050190653415402
1301,1,0.6149358467256945
1311,1,-0.3423710161112176
1321,1,0.6044587224206142
1331,1,-0.9134920056557246
