 790330  -275.50  1367.3719
 790331  -274.50   -99.0000
 790401  -273.50  1366.5604
 790402  -272.50   -99.0000
 790403  -271.50  1366.4153
 790404  -270.50   -99.0000
 790405  -269.50  1366.5787
 790406  -268.50   -99.0000
 790407  -267.50  1367.2295
 790408  -266.50   -99.0000
 790409  -265.50  1367.0849
 790410  -264.50   -99.0000
 790411  -263.50  1366.6717
 790412  -262.50   -99.0000
 790413  -261.50   -99.0000
 790414  -260.50  1366.5893
 790415  -259.50  1366.6115
 790416  -258.50  1366.6041
 790417  -257.50  1366.6761
 790418  -256.50  1366.8675
 790419  -255.50  1367.1386
 790420  -254.50   -99.0000
 790421  -253.50   -99.0000
 790422  -252.50  1367.1861
 790423  -251.50  1366.9202
 790424  -250.50   -99.0000
 790425  -249.50  1366.8459
 790426  -248.50  1366.7789
 790427  -247.50  1366.6423
 790428  -246.50  1366.7047
 790429  -245.50  1366.6477
 790430  -244.50   -99.0000
 790501  -243.50  1366.0067
 790502  -242.50   -99.0000
 790503  -241.50  1366.6687
 790504  -240.50  1366.9700
 790505  -239.50  1367.2414
 790506  -238.50   -99.0000
 790507  -237.50  1367.0978
 790508  -236.50  1367.1107
 790509  -235.50  1366.8051
 790510  -234.50   -99.0000
 790511  -233.50  1366.1842
 790512  -232.50   -99.0000
 790513  -231.50  1366.2597
 790514  -230.50  1366.6009
 790515  -229.50  1366.6237
 790516  -228.50   -99.0000
 790517  -227.50  1366.7491
 790518  -226.50   -99.0000
 790519  -225.50  1367.0336
 790520  -224.50  1367.1659
 790521  -223.50  1367.1092
 790522  -222.50   -99.0000
 790523  -221.50  1366.7671
 790524  -220.50  1367.1482
 790525  -219.50  1367.3204
 790526  -218.50   -99.0000
 790527  -217.50  1367.0779
 790528  -216.50  1367.3197
 790529  -215.50  1367.2630
 790530  -214.50   -99.0000
 790531  -213.50  1366.9808
 790601  -212.50  1366.8645
 790602  -211.50  1366.1115
 790603  -210.50   -99.0000
 790604  -209.50  1365.4213
 790605  -208.50  1365.3648
 790606  -207.50  1365.4276
 790607  -206.50   -99.0000
 790608  -205.50  1365.5233
 790609  -204.50  1365.4868
 790610  -203.50  1365.1517
 790611  -202.50   -99.0000
 790612  -201.50  1365.1182
 790613  -200.50  1365.5391
 790614  -199.50  1365.8806
 790615  -198.50   -99.0000
 790616  -197.50  1365.9864
 790617  -196.50  1366.1885
 790618  -195.50  1366.3609
 790619  -194.50   -99.0000
 790620  -193.50  1366.3075
 790621  -192.50  1366.5097
 790622  -191.50  1366.6622
 790623  -190.50   -99.0000
 790624  -189.50  1366.3401
 790625  -188.50  1366.5224
 790626  -187.50  1366.7345
 790627  -186.50   -99.0000
 790628  -185.50  1366.6315
 790629  -184.50  1366.6546
 790630  -183.50  1366.7274
 790701  -182.50   -99.0000
 790702  -181.50  1365.9875
 790703  -180.50  1366.0206
 790704  -179.50  1366.0039
 790705  -178.50   -99.0000
 790706  -177.50  1365.9506
 790707  -176.50  1366.1229
 790708  -175.50  1366.2952
 790709  -174.50   -99.0000
 790710  -173.50  1366.1324
 790711  -172.50  1366.3546
 790712  -171.50  1366.5169
 790713  -170.50   -99.0000
 790714  -169.50  1367.1103
 790715  -168.50  1367.0936
 790716  -167.50  1366.9973
 790717  -166.50   -99.0000
 790718  -165.50  1366.8444
 790719  -164.50  1366.8475
 790720  -163.50  1366.7512
 790721  -162.50   -99.0000
 790722  -161.50  1366.5983
 790723  -160.50  1366.8900
 790724  -159.50  1366.9927
 790725  -158.50   -99.0000
 790726  -157.50  1366.8596
 790727  -156.50  1367.2708
 790728  -155.50  1367.2341
 790729  -154.50   -99.0000
 790730  -153.50  1367.0811
 790731  -152.50  1367.2235
 790801  -151.50  1367.2167
 790802  -150.50   -99.0000
 790803  -149.50  1366.9542
 790804  -148.50  1366.9276
 790805  -147.50  1367.0501
 790806  -146.50   -99.0000
 790807  -145.50  1366.8274
 790808  -144.50  1366.8106
 790809  -143.50  1366.9331
 790810  -142.50   -99.0000
 790811  -141.50  1366.1730
 790812  -140.50  1366.2159
 790813  -139.50  1366.3284
 790814  -138.50   -99.0000
 790815  -137.50  1366.0260
 790816  -136.50  1365.8101
 790817  -135.50  1365.7733
 790818  -134.50   -99.0000
 790819  -133.50  1365.3316
 790820  -132.50  1365.3943
 790821  -131.50  1365.0989
 790822  -130.50   -99.0000
 790823  -129.50  1364.9456
 790824  -128.50  1365.5755
 790825  -127.50  1365.2999
 790826  -126.50   -99.0000
 790827  -125.50  1365.1068
 790828  -124.50  1365.6670
 790829  -123.50  1366.7945
 790830  -122.50   -99.0000
 790831  -121.50  1366.5715
 790901  -120.50  1366.2859
 790902  -119.50  1365.6718
 790903  -118.50   -99.0000
 790904  -117.50  1365.1105
 790905  -116.50  1365.1035
 790906  -115.50  1365.1064
 790907  -114.50   -99.0000
 790908  -113.50  1365.9979
 790909  -112.50  1366.8665
 790910  -111.50  1366.8196
 790911  -110.50   -99.0000
 790912  -109.50  1366.7458
 790913  -108.50  1366.7288
 790914  -107.50  1366.7017
 790915  -106.50   -99.0000
 790916  -105.50  1366.7373
 790917  -104.50  1366.9890
 790918  -103.50  1367.0018
 790919  -102.50   -99.0000
 790920  -101.50  1366.5298
 790921  -100.50  1366.4132
 790922   -99.50  1366.3264
 790923   -98.50   -99.0000
 790924   -97.50  1366.2922
 790925   -96.50  1366.5936
 790926   -95.50  1366.5366
 790927   -94.50   -99.0000
 790928   -93.50  1365.7559
 790929   -92.50  1365.4601
 790930   -91.50  1365.7117
 791001   -90.50   -99.0000
 791002   -89.50  1366.4038
 791003   -88.50  1366.4762
 791004   -87.50  1366.8372
 791005   -86.50   -99.0000
 791006   -85.50  1366.2256
 791007   -84.50  1366.0094
 791008   -83.50  1365.9324
 791009   -82.50   -99.0000
 791010   -81.50  1365.8880
 791011   -80.50  1366.0498
 791012   -79.50  1366.3710
 791013   -78.50   -99.0000
 791014   -77.50  1366.6151
 791015   -76.50  1366.8367
 791016   -75.50  1366.5606
 791017   -74.50   -99.0000
 791018   -73.50  1366.0483
 791019   -72.50  1366.4391
 791020   -71.50  1366.6009
 791021   -70.50   -99.0000
 791022   -69.50  1366.8848
 791023   -68.50  1367.1958
 791024   -67.50  1367.0690
 791025   -66.50   -99.0000
 791026   -65.50  1366.6860
 791027   -64.50  1366.4299
 791028   -63.50  1366.5716
 791029   -62.50   -99.0000
 791030   -61.50  1366.4672
 791031   -60.50  1366.2906
 791101   -59.50  1366.7210
 791102   -58.50   -99.0000
 791103   -57.50  1366.3081
 791104   -56.50  1366.5891
 791105   -55.50  1366.6514
 791106   -54.50   -99.0000
 791107   -53.50  1365.4520
 791108   -52.50  1364.9070
 791109   -51.50  1365.1085
 791110   -50.50   -99.0000
 791111   -49.50  1365.4518
 791112   -48.50  1365.7727
 791113   -47.50  1366.1234
 791114   -46.50   -99.0000
 791115   -45.50  1366.7751
 791116   -44.50  1367.2752
 791117   -43.50  1367.3373
 791118   -42.50   -99.0000
 791119   -41.50  1367.0534
 791120   -40.50  1367.1552
 791121   -39.50  1367.1476
 791122   -38.50   -99.0000
 791123   -37.50  1366.5551
 791124   -36.50  1366.4679
 791125   -35.50  1366.8484
 791126   -34.50   -99.0000
 791127   -33.50  1367.0521
 791128   -32.50  1367.0743
 791129   -31.50  1367.1264
 791130   -30.50   -99.0000
 791201   -29.50  1366.7228
 791202   -28.50  1366.7847
 791203   -27.50  1366.6178
 791204   -26.50   -99.0000
 791205   -25.50  1366.4232
 791206   -24.50   -99.0000
 791207   -23.50  1367.0547
 791208   -22.50   -99.0000
 791209   -21.50  1367.0194
 791210   -20.50  1367.2604
 791211   -19.50  1367.2427
 791212   -18.50   -99.0000
 791213   -17.50  1367.3167
 791214   -16.50  1367.3089
 791215   -15.50  1367.3210
 791216   -14.50   -99.0000
 791217   -13.50  1366.8774
 791218   -12.50   -99.0000
 791219   -11.50  1366.9613
 791220   -10.50   -99.0000
 791221    -9.50  1366.4479
 791222    -8.50  1366.4799
 791223    -7.50  1366.4323
 791224    -6.50   -99.0000
 791225    -5.50  1366.4762
 791226    -4.50  1366.9462
 791227    -3.50  1366.9880
 791228    -2.50   -99.0000
 791229    -1.50  1366.7134
 791230    -0.50  1366.9245
 791231     0.50  1367.1057
 800101     1.50   -99.0000
 800102     2.50  1366.7017
 800103     3.50  1366.6937
 800104     4.50  1366.7554
 800105     5.50   -99.0000
 800106     6.50  1366.5106
 800107     7.50  1366.2240
 800108     8.50  1366.1662
 800109     9.50   -99.0000
 800110    10.50  1366.1502
 800111    11.50  1366.5403
 800112    12.50  1366.8607
 800113    13.50   -99.0000
 800114    14.50  1367.0638
 800115    15.50  1367.2150
 800116    16.50  1367.0078
 800117    17.50   -99.0000
 800118    18.50  1366.5438
 800119    19.50  1366.6652
 800120    20.50  1366.6471
 800121    21.50   -99.0000
 800122    22.50  1366.1333
 800123    23.50  1366.1949
 800124    24.50  1366.7044
 800125    25.50   -99.0000
 800126    26.50  1366.7181
 800127    27.50  1366.9389
 800128    28.50  1367.0801
 800129    29.50   -99.0000
 800130    30.50  1366.6756
 800131    31.50  1366.4584
 800201    32.50  1366.2213
 800202    33.50   -99.0000
 800203    34.50  1365.5282
 800204    35.50  1365.7290
 800205    36.50  1365.9996
 800206    37.50   -99.0000
 800207    38.50  1365.7642
