#IPO reconstruction from Vance et al. (2021) Communications Earth & Environment.

#Year	IPO (mean)	Std Dev
1.0	-0.155214952103	0.720214395197
2.0	-0.0420360156937	0.694725715854
3.0	0.115051361129	0.707111715843
4.0	0.230311892458	0.684499908688
5.0	0.306985209184	0.692782170171
6.0	0.318090109058	0.700623800658
7.0	0.228284870234	0.67860333803
8.0	0.0343303806461	0.70336625226
9.0	-0.177966786454	0.698917999965
10.0	-0.396405266835	0.720202060976
11.0	-0.589040325576	0.717990353919
12.0	-0.754718162553	0.668105817787
13.0	-0.841875021299	0.718477341634
14.0	-0.878913822002	0.706126455716
15.0	-0.829012542796	0.72703258489
16.0	-0.759450097179	0.675804740519
17.0	-0.644473749607	0.707077850095
18.0	-0.55801244521	0.699829915991
19.0	-0.461950290861	0.699082731603
20.0	-0.322901744843	0.699731086766
21.0	-0.199792138733	0.691300327945
22.0	-0.0918024439455	0.692100262235
23.0	-0.00108971782498	0.709062843683
24.0	0.134617034279	0.724800574193
25.0	0.323669341254	0.696790129887
26.0	0.473190620113	0.692073713068
27.0	0.652656744326	0.703729520069
28.0	0.849304484148	0.698304476334
29.0	1.01679337425	0.719740552257
30.0	1.12550260426	0.686872480574
31.0	1.37686955239	0.698642509014
32.0	1.24845545198	0.708095941707
33.0	1.17214255022	0.688175724049
34.0	1.15480949102	0.708256128751
35.0	1.18202819034	0.686020177125
36.0	1.23203165223	0.689356464571
37.0	0.835201539181	0.698166151709
38.0	1.13155894466	0.71288164259
39.0	1.46566878507	0.678790304657
40.0	1.46289467577	0.711336858284
41.0	1.45473881481	0.68347821295
42.0	1.39967097109	0.680639570082
43.0	1.28167650772	0.70723481031
44.0	1.16255811168	0.683956904448
45.0	1.03405581899	0.701420280109
46.0	0.443879739744	0.704456145211
47.0	0.362313257462	0.738726994427
48.0	0.287288326566	0.710285181049
49.0	0.234922425862	0.706292429943
50.0	0.255727818884	0.711425998947
51.0	0.269340189363	0.69318651383
52.0	0.270587062834	0.696089379804
53.0	0.347377906396	0.678876246451
54.0	0.472405200515	0.689627404646
55.0	0.620099809022	0.710710456382
56.0	0.794133901783	0.728046224514
57.0	0.967617593516	0.718435053744
58.0	1.14019577541	0.70714745586
59.0	1.27370357288	0.696907887083
60.0	1.31323878407	0.695524493411
61.0	1.31027787657	0.709540117767
62.0	1.17086982866	0.717764937011
63.0	0.959802203994	0.736678926723
64.0	0.729073378875	0.680386371105
65.0	0.684755073889	0.718123357131
66.0	0.609948350955	0.717660068605
67.0	0.537969963587	0.724518959791
68.0	0.473903353998	0.700901839189
69.0	0.436359499744	0.708980947375
70.0	0.415515059832	0.67172692303
71.0	0.443579346502	0.719900152035
72.0	0.421804038761	0.683751493497
73.0	0.444819093747	0.704185403293
74.0	1.00517659422	0.670015168281
75.0	1.42621646477	0.721820398712
76.0	0.844133085483	0.727543863953
77.0	0.339342403494	0.685757988632
78.0	-0.0692219008062	0.683726122143
79.0	-0.249792418045	0.705357931341
80.0	-0.238144721042	0.697791211018
81.0	-0.0913548138132	0.712032676147
82.0	0.225224982925	0.689274161372
83.0	0.732412697627	0.69550005823
84.0	1.35185985674	0.704700552852
85.0	1.78745775865	0.697982197161
86.0	0.799220966057	0.728164903974
87.0	0.577592239021	0.695994997351
88.0	0.404955810136	0.697606897498
89.0	0.269090511832	0.701513482719
90.0	0.119264473147	0.71188541247
91.0	0.0141661006783	0.714597373154
92.0	-0.049192908805	0.715306159874
93.0	-0.0685608948478	0.712866591537
94.0	-0.0573049241985	0.70236676031
95.0	-0.0396161495231	0.717142635178
96.0	-0.0108553602741	0.712309256502
97.0	0.0616558784258	0.748236489609
98.0	0.112533817209	0.690740033127
99.0	0.191976682398	0.704297464635
100.0	0.243572534694	0.677300094397
101.0	0.301213289265	0.692131914197
102.0	0.297515816682	0.676428512228
103.0	0.296344034608	0.71727861767
104.0	0.200077805904	0.684267552236
105.0	0.136183132999	0.703946159732
106.0	0.0328547019344	0.676509437184
107.0	-0.0827812010462	0.698077936925
108.0	0.377337084295	0.734252943058
109.0	0.345123845683	0.688893108219
110.0	0.33014614042	0.717980019978
111.0	0.312240770063	0.741939043769
112.0	0.307686309924	0.722045499874
113.0	0.325332637358	0.707608319902
114.0	0.316940418055	0.704170796895
115.0	0.511394685756	0.708736017829
116.0	1.05078786526	0.730077675624
117.0	1.43526725572	0.711294891355
118.0	1.10479830634	0.710940008047
119.0	0.823513047635	0.705502729997
